metric,method,band,n_complete_seizures,n_subjects,model_type,slope_per_minute,statistic,p_uncorrected,p_fdr_bh,skip_reason,fallback_reason
characteristic_path_length,wpli,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.003487286689636334,-0.11769109601699691,0.9063124220962195,0.9374566289872778,,
clustering_coefficient,aec,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.001186885603309164,1.6320774814405568,0.1026631648758166,0.5704015886545709,,
clustering_coefficient,aec,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0004421942109968061,0.7781645497894376,0.4364720127437074,0.7224364348861364,,
clustering_coefficient,aec,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-4.385817020350331e-05,-0.09124560197468898,0.9272974409199032,0.9403579682568033,,
clustering_coefficient,aec,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00012215282551001388,0.23233522113858945,0.8162776582582857,0.9255431715684499,,
clustering_coefficient,aec,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0007913785580935165,-1.0536743736780045,0.2920320254076719,0.6727203453817511,,
clustering_coefficient,aec,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00040925085169634973,-0.8463672480179969,0.39734790355180616,0.6811678346602391,,
clustering_coefficient,coherence,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0002382155755350305,-0.4290462913899207,0.6678895369420558,0.8363138549535307,,
clustering_coefficient,coherence,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0005860186211546776,1.0469279208667088,0.2951328232605568,0.6727203453817511,,
clustering_coefficient,coherence,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00019135662946348646,-0.37205330511594464,0.7098531617401818,0.867270048217715,,
clustering_coefficient,coherence,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0009009765340806767,-1.637942429246656,0.10143370388888298,0.5704015886545709,,
