metric,method,band,n_complete_seizures,n_subjects,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
clustering_coefficient,wpli,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,7.474437581244658,3.0,,0.05821891039666796,0.33534092388480746,,,
clustering_coefficient,wpli,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,5.288613758850541,3.0,,0.15184293568459062,0.5141042116065346,,,
clustering_coefficient,wpli,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,5.555271405942669,3.0,,0.13536989670834207,0.49982731092310917,,,
clustering_coefficient,wpli,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.1793468262851206,3.0,,0.5360278507641827,0.739414909353474,,,
global_efficiency,aec,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.5607844149449264,3.0,,0.31296373419781454,0.6008903696598039,,,
global_efficiency,aec,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.866204811981379,3.0,,0.18186057055045257,0.5237584431853034,,,
global_efficiency,aec,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.867579431345119,3.0,,0.4124956202346949,0.674992833111319,,,
global_efficiency,aec,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,8.107861217120993,3.0,,0.04383435058953128,0.28691574931329566,,,
global_efficiency,aec,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.9167579493735323,3.0,,0.4046383275897981,0.6697461973900107,,,
global_efficiency,aec,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.285364399727013,3.0,,0.2322530475632248,0.5690846349834214,,,
global_efficiency,coherence,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.396565807144949,3.0,,0.2217040279685335,0.5690846349834214,,,
global_efficiency,coherence,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.3455833661512933,3.0,,0.3413485125308748,0.6215222804911742,,,
global_efficiency,coherence,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.3384635811349024,3.0,,0.5051923789599952,0.7132127702964638,,,
