metric,method,band,contrast,n_subjects,mean_baseline,mean_comparison,mean_difference,t,t_df,t_p_uncorrected,t_p_fdr_bh,cohen_dz,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_fdr_bh,omnibus_p_fdr_bh,interpret_posthoc,skip_reason
assortativity,coherence,delta,Baseline_vs_T1,24,0.2741827679400041,0.24784080574759595,-0.026341962192408086,-0.892362670161383,23.0,0.38144019058512213,0.9723109562562193,-0.18215276728357632,107.0,0.22918963432312012,0.9167585372924805,0.9346311268387354,False,
assortativity,coherence,delta,Baseline_vs_T2,24,0.2741827679400041,0.2753110379425651,0.001128270002561033,0.03612959645355285,23.0,0.9714907703486196,0.996872804237865,0.007374922993656099,135.0,0.6839864253997803,0.9669384080536512,0.9346311268387354,False,
assortativity,coherence,theta,Baseline_vs_T0,24,0.22261198511468985,0.21636628641103242,-0.006245698703657441,-0.23617136828552587,23.0,0.8153902044393392,0.996872804237865,-0.04820827867953867,116.0,0.344876766204834,0.9505211614793346,,False,
assortativity,coherence,theta,Baseline_vs_T1,24,0.22261198511468985,0.20695817836757954,-0.01565380674711034,-0.46546732926412315,23.0,0.645974213151201,0.996872804237865,-0.09501312071942916,129.0,0.5645889043807983,0.9512063256145393,,False,
assortativity,coherence,theta,Baseline_vs_T2,24,0.22261198511468985,0.2266320919380144,0.0040201068233245265,0.12885737083321436,23.0,0.8985906896274805,0.996872804237865,0.0263029006781639,140.0,0.7898378372192383,0.9669384080536512,,False,
assortativity,wpli,alpha1,Baseline_vs_T0,24,-0.1749771814498811,-0.18990199011711928,-0.014924808667238193,-0.6826074256499663,23.0,0.5016728853862127,0.9723109562562193,-0.13933665728976863,127.0,0.5270590782165527,0.9505211614793346,,False,
assortativity,wpli,alpha1,Baseline_vs_T1,24,-0.1749771814498811,-0.19064659247377466,-0.01566941102389359,-0.621548284668087,23.0,0.540351263565814,0.9875733650656062,-0.1268730123282465,129.0,0.5645889043807983,0.9512063256145393,,False,
assortativity,wpli,alpha1,Baseline_vs_T2,24,-0.1749771814498811,-0.17435373433858767,0.0006234471112934389,0.02751407194296396,23.0,0.9782870592300325,0.996872804237865,0.005616286417207387,149.0,0.9888126850128174,0.9934118137803188,,False,
assortativity,wpli,alpha2,Baseline_vs_T0,24,-0.19772394909979338,-0.17739386328060402,0.020330085819189315,0.8296574254435786,23.0,0.41526091896118433,0.9723109562562193,0.1693531128039954,131.0,0.6033114194869995,0.9512063256145393,0.9553560541765119,False,
assortativity,wpli,alpha2,Baseline_vs_T1,24,-0.19772394909979338,-0.20447102105278261,-0.006747071952989255,-0.3671691809289693,23.0,0.7168495545035539,0.996872804237865,-0.07494809521263426,142.0,0.8333734273910522,0.9669384080536512,0.9553560541765119,False,
assortativity,wpli,alpha2,Baseline_vs_T2,24,-0.19772394909979338,-0.1999045245126961,-0.002180575412902745,-0.07889041806761887,23.0,0.9378021489916787,0.996872804237865,-0.01610343915504243,138.0,0.746925950050354,0.9669384080536512,0.9553560541765119,False,
assortativity,wpli,beta1,Baseline_vs_T0,24,-0.19069061708372967,-0.1729923458496074,0.01769827123412224,1.1937163134433746,23.0,0.2447564337443386,0.9702209526314701,0.24366632213104125,112.0,0.28966712951660156,0.9214962838401257,,False,
assortativity,wpli,beta1,Baseline_vs_T1,24,-0.19069061708372967,-0.15133889289256086,0.039351724191168766,1.544938470466796,23.0,0.1360104424607058,0.8515436397539841,0.3153592447199624,98.0,0.14335036277770996,0.8256980895996093,,False,
assortativity,wpli,beta1,Baseline_vs_T2,24,-0.19069061708372967,-0.18599251121222848,0.0046981058715011795,0.2387060366692109,23.0,0.8134476052131406,0.996872804237865,0.048725665696804775,146.0,0.9218088388442993,0.9689085605370737,,False,
assortativity,wpli,beta2,Baseline_vs_T0,24,-0.17044726136274926,-0.19905166333085375,-0.028604401968104497,-1.4212462842961,23.0,0.1686628686615241,0.9107842055948823,-0.2901106829460001,107.0,0.22918963432312012,0.9167585372924805,,False,
assortativity,wpli,beta2,Baseline_vs_T1,24,-0.17044726136274926,-0.1629510822496679,0.007496179113081353,0.4683038953412726,23.0,0.6439750230388906,0.996872804237865,0.09559213234532118,127.0,0.5270590782165527,0.9505211614793346,,False,
assortativity,wpli,beta2,Baseline_vs_T2,24,-0.17044726136274926,-0.19001503199127992,-0.019567770628530694,-1.1712052779237652,23.0,0.25350745105932304,0.9702209526314701,-0.23907127624731533,89.0,0.08392000198364258,0.8043590784072876,,False,
assortativity,wpli,delta,Baseline_vs_T0,24,-0.22320388813956846,-0.2058864294354035,0.01731745870416494,0.6711204079790641,23.0,0.5088283382952857,0.9723109562562193,0.13699187962643158,137.0,0.7257407903671265,0.9669384080536512,,False,
assortativity,wpli,delta,Baseline_vs_T1,24,-0.22320388813956846,-0.21730045897492264,0.0059034291646457805,0.21530151422856436,23.0,0.8314300118540767,0.996872804237865,0.04394823755904624,145.0,0.899570107460022,0.9689085605370737,,False,
assortativity,wpli,delta,Baseline_vs_T2,24,-0.22320388813956846,-0.22938835487451437,-0.006184466734945945,-0.2742704960725971,23.0,0.786325087869046,0.996872804237865,-0.05598523057315671,146.0,0.9218088388442993,0.9689085605370737,,False,
assortativity,wpli,theta,Baseline_vs_T0,24,-0.1944352280198217,-0.2040946782014954,-0.009659450181673699,-0.5079054229861807,23.0,0.6163561944287658,0.996872804237865,-0.10367576032571675,131.0,0.6033114194869995,0.9512063256145393,0.996861179388722,False,
assortativity,wpli,theta,Baseline_vs_T1,24,-0.1944352280198217,-0.19381178971477772,0.0006234383050439997,0.027981122795995326,23.0,0.9779185819926184,0.996872804237865,0.005711622773362259,135.0,0.6839864253997803,0.9669384080536512,0.996861179388722,False,
assortativity,wpli,theta,Baseline_vs_T2,24,-0.1944352280198217,-0.21398320463293796,-0.019547976613116257,-0.9347000549393168,23.0,0.3596533183138117,0.9710639594472916,-0.19079484976272748,125.0,0.49079859256744385,0.9505211614793346,0.996861179388722,False,
characteristic_path_length,aec,alpha1,Baseline_vs_T0,24,4.400356732978085,4.409939229223425,0.009582496245339652,0.08908826963201968,23.0,0.9297829768769457,0.996872804237865,0.018185066888827855,135.0,0.6839864253997803,0.9669384080536512,,False,
characteristic_path_length,aec,alpha1,Baseline_vs_T1,24,4.400356732978085,4.446567137352218,0.0462104043741333,0.5158025480169515,23.0,0.6109154316469408,0.996872804237865,0.10528775422241254,137.0,0.7257407903671265,0.9669384080536512,,False,
characteristic_path_length,aec,alpha1,Baseline_vs_T2,24,4.400356732978085,4.361734011391063,-0.03862272158702127,-0.45112202464718565,23.0,0.6561262338212018,0.996872804237865,-0.09208489767640511,144.0,0.8774070739746094,0.9669384080536512,,False,
characteristic_path_length,aec,alpha2,Baseline_vs_T0,24,5.996925966670022,5.812709672126698,-0.18421629454332422,-1.93454911296293,23.0,0.06543949810872904,0.7428703094710886,-0.3948881840927494,92.0,0.10109639167785645,0.8131685256958008,0.9346311268387354,False,
characteristic_path_length,aec,alpha2,Baseline_vs_T1,24,5.996925966670022,5.908872569576592,-0.0880533970934303,-0.5714235251332798,23.0,0.5732548410553798,0.996872804237865,-0.11664133863324784,143.0,0.8553357124328613,0.9669384080536512,0.9346311268387354,False,
