metric,method,band,contrast,n_pairs,n_subjects,mean_baseline,mean_comparison,mean_difference,t,t_df,t_p_uncorrected,t_p_fdr_bh,cohen_dz,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_fdr_bh,omnibus_p_fdr_bh,interpret_posthoc,skip_reason
assortativity,coherence,alpha2,Baseline_vs_T0,155,24,0.12210349012097683,0.11592422891624111,-0.0061792612047356955,-0.3782312105465203,154.0,0.705779703139509,0.8996512823770667,-0.03038026191051558,5880.0,0.7681706529375542,0.9081733206586105,0.8655765730265133,False,
assortativity,coherence,alpha2,Baseline_vs_T1,155,24,0.12210349012097683,0.13210314296431144,0.00999965284333463,0.6483344166845114,154.0,0.5177342104460075,0.8252056643427254,0.052075473507372634,5722.0,0.563917926440231,0.8258052346514569,0.8655765730265133,False,
assortativity,coherence,alpha2,Baseline_vs_T2,155,24,0.12210349012097683,0.11774717124799826,-0.004356318872978556,-0.27728292079614864,154.0,0.781934733360679,0.9278414830048308,-0.022271900155800727,6019.0,0.9629528717858568,0.9831557427994231,0.8655765730265133,False,
assortativity,coherence,beta1,Baseline_vs_T0,155,24,0.1489622733356795,0.13200590518310507,-0.016956368152574414,-1.00360155100416,154.0,0.31714502509375075,0.6650808293228171,-0.08061121642830683,5211.0,0.136244930438932,0.49879499957303913,0.6008903696598039,False,
assortativity,coherence,beta1,Baseline_vs_T1,155,24,0.1489622733356795,0.13402395991353241,-0.014938313422147083,-0.802386869165026,154.0,0.4235657153948151,0.7534682852477033,-0.06444926425709095,5215.0,0.13813409566754606,0.501461590994789,0.6008903696598039,False,
assortativity,coherence,beta1,Baseline_vs_T2,155,24,0.1489622733356795,0.11725172612315393,-0.031710547212525565,-1.7167592496342956,154.0,0.08803370869670536,0.45274478758305614,-0.13789342123784168,4721.0,0.018015727539757057,0.3586663761222973,0.6008903696598039,False,
assortativity,coherence,beta2,Baseline_vs_T0,155,24,0.1901331710719511,0.1694866951995646,-0.020646475872386476,-1.1050704527468935,154.0,0.2708525617590588,0.6504436658452468,-0.08876139474453404,5396.0,0.246283737081047,0.6063029885655307,0.6008903696598039,False,
assortativity,coherence,beta2,Baseline_vs_T1,155,24,0.1901331710719511,0.16169401762615643,-0.028439153445794684,-1.3929342523619115,154.0,0.16564722210776558,0.5856545677773876,-0.11188317153874384,4929.0,0.04618401418782505,0.3586663761222973,0.6008903696598039,False,
assortativity,coherence,beta2,Baseline_vs_T2,155,24,0.1901331710719511,0.16046479658112975,-0.029668374490821367,-1.5682269287549362,154.0,0.11888064775258826,0.5031681023397244,-0.12596301812813668,5148.0,0.10905186855256352,0.44867054490197567,0.6008903696598039,False,
assortativity,coherence,delta,Baseline_vs_T0,155,24,0.2556296039203266,0.2374447288448974,-0.018184875075429183,-1.0661894147640485,154.0,0.2880066995573391,0.6538932592664598,-0.08563839462097271,5377.0,0.232725978258717,0.587939313495706,0.5690846349834214,False,
assortativity,coherence,delta,Baseline_vs_T1,155,24,0.2556296039203266,0.21965050254095717,-0.03597910137936937,-2.0201214722492633,154.0,0.045104452817388944,0.414577098236426,-0.16226006132415813,4819.0,0.02850828256972056,0.3586663761222973,0.5690846349834214,False,
assortativity,coherence,delta,Baseline_vs_T2,155,24,0.2556296039203266,0.2419294286126258,-0.013700175307700754,-0.6929218065314944,154.0,0.4894022687418092,0.8220701702837919,-0.05565681884241341,5627.0,0.4552162172350137,0.7563592532520228,0.5690846349834214,False,
assortativity,coherence,theta,Baseline_vs_T0,155,24,0.19396921246462884,0.17250759596543574,-0.02146161649919309,-1.1305683131612576,154.0,0.2599945056192885,0.6492348348412291,-0.09080943217758154,5346.0,0.2117576287278542,0.5787387362295833,0.6290367136012897,False,
assortativity,coherence,theta,Baseline_vs_T1,155,24,0.19396921246462884,0.16382746029649245,-0.030141752168136412,-1.4290785219575657,154.0,0.1550069538979004,0.5813694190319353,-0.1147863491355731,4966.0,0.05390390155463699,0.3638513354937997,0.6290367136012897,False,
assortativity,coherence,theta,Baseline_vs_T2,155,24,0.19396921246462884,0.16901579420069582,-0.024953418263933047,-1.210361537176118,154.0,0.22799463005926784,0.6363201327062001,-0.09721857816199986,5354.0,0.2170333391613859,0.5787387362295833,0.6290367136012897,False,
assortativity,wpli,alpha1,Baseline_vs_T0,155,24,-0.17295851823356986,-0.19588144606293467,-0.02292292782936482,-1.312164193655573,154.0,0.19141720682401078,0.6069624980157506,-0.10539556430379181,5295.0,0.18029174790340463,0.5517109396681467,0.739414909353474,False,
assortativity,wpli,alpha1,Baseline_vs_T1,155,24,-0.17295851823356986,-0.1856399083210668,-0.012681390087496944,-0.7120247862940025,154.0,0.47752670881017373,0.8153815739367393,-0.05719120710090139,5366.0,0.2251231448381592,0.5823544824555975,0.739414909353474,False,
