metric,method,band,window,n,mean,std,median,min,max,sem,ci95_lower,ci95_upper
characteristic_path_length,coherence,alpha2,T0,159,5.1624551862051655,0.746288389881005,5.264405763277003,2.4259770647622285,7.484485885314326,0.05918451909981716,5.04556031170384,5.279350060706491
characteristic_path_length,coherence,alpha2,T1,159,5.166126198283098,0.6439875994615892,5.270792320492981,3.039487220220449,6.731159824643797,0.05107153869358344,5.065255207068192,5.266997189498003
characteristic_path_length,coherence,alpha2,T2,159,5.090966471556617,0.6962231859806561,5.21355274379649,2.850858461298885,6.569159971785269,0.055214090165569774,4.981913559768589,5.200019383344644
characteristic_path_length,coherence,beta1,Baseline,155,5.30344876544719,0.6930915353566816,5.444774710015663,2.4460402279829947,6.656357101077507,0.05567045178971963,5.193472452740088,5.413425078154291
characteristic_path_length,coherence,beta1,T0,159,5.237923739155406,0.675399165576852,5.359902668441693,2.446919771511787,6.826670492982146,0.05356263792534338,5.132132597595512,5.343714880715299
characteristic_path_length,coherence,beta1,T1,159,5.304266004868626,0.6629146960399684,5.349171168532982,3.227453380306262,7.230586968620317,0.05257255508903585,5.200430368070052,5.4081016416672
characteristic_path_length,coherence,beta1,T2,159,5.289204643799634,0.6294509220164223,5.290892657342446,3.3050388776942388,7.467395152220987,0.049918705183687156,5.1906106049112815,5.387798682687986
characteristic_path_length,coherence,beta2,Baseline,155,5.430535727226203,0.7117290086394675,5.480183658054897,1.721924998644818,7.098925094855646,0.05716744966798339,5.317602113087389,5.543469341365016
characteristic_path_length,coherence,beta2,T0,159,5.561487635160445,0.6178905409043062,5.588093190955735,1.7583351568515837,7.424395201804192,0.04900190732644018,5.464704356452221,5.658270913868669
characteristic_path_length,coherence,beta2,T1,159,5.5952019352476485,0.5189412439667549,5.567389005278218,3.4464692638629564,7.722633480420758,0.041154717642238124,5.51391757867776,5.676486291817537
characteristic_path_length,coherence,beta2,T2,159,5.613723678662978,0.5308930841786617,5.568185037848659,3.6194895907550673,7.787573365423073,0.04210256022546838,5.530567245720772,5.696880111605183
