metric,method,band,n_subjects_complete,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
clustering_coefficient,wpli,beta2,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.7801158601684948,3.0,,,,0.032805385169513944,,mixed model failed: Singular matrix
clustering_coefficient,wpli,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.2459733646882536,3.0,,0.3552332075966137,0.8868612121862072,,,
clustering_coefficient,wpli,theta,24,pingouin_repeated_measures_anova,one_way_rm_anova_window,0.9002891111199889,3.0,,,,0.037668544800201396,,mixed model failed: Singular matrix
global_efficiency,aec,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.332669387745586,3.0,,0.5062912262594106,0.9346311268387354,,,
global_efficiency,aec,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,4.1142129383622645,3.0,,0.24939237443558362,0.8754429249632198,,,
global_efficiency,aec,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.4294068592230342,3.0,,0.6986563080194788,0.9781188312272702,,,
global_efficiency,aec,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.549465024417068,3.0,,0.31440311336824434,0.8754429249632198,,,
global_efficiency,aec,delta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,1.9043743056104498,3.0,,0.5924893750495555,0.9346311268387354,,,
global_efficiency,aec,theta,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,4.928257439958893,3.0,,0.17712649813418666,0.8301257564718311,,,
global_efficiency,coherence,alpha1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,2.4780830094602546,3.0,,0.4792649989153066,0.9346311268387354,,,
global_efficiency,coherence,alpha2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,3.003788269544894,3.0,,0.39104146831888204,0.9318434989726552,,,
global_efficiency,coherence,beta1,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,4.6332630723952715,3.0,,0.2007071092782231,0.8574157270327646,,,
global_efficiency,coherence,beta2,24,linear_mixed_effects_subject_random_intercept,wald_chi_square_window_terms,5.811694008871759,3.0,,0.1211399068476994,0.7140878719443333,,,
